ClienteID;Nome da Agência;PaísID;Cidade;Endereço;Telefone;Email;CNPJ;Responsável
1;Viagem Feliz;1;São Paulo;Rua Principal, 792;+55 24 90797-3884;viagemfeliz@agencia.com;31.824.626/0001-45;Maria Oliveira
2;Travel Plus;1;Curitiba;Rua Principal, 797;+55 34 92617-2612;travelplus@agencia.com;25.393.767/0001-65;José Santos
3;Destino Certo;1;Porto Alegre;Rua Principal, 521;+55 79 94221-3831;destinocerto@agencia.com;10.659.720/0001-92;Carlos Silva
4;RotaSul;1;Rio de Janeiro;Rua Principal, 437;+55 62 94355-6798;rotasul@agencia.com;68.624.990/0001-35;Rafael Almeida
5;Mundo Viagens;1;São Paulo;Rua Principal, 554;+55 46 97153-3782;mundoviagens@agencia.com;43.760.448/0001-79;Fernanda Souza
6;Agência Aventura;1;Brasília;Rua Principal, 712;+55 97 90088-9990;agenciaaventura@agencia.com;41.691.827/0001-12;Maria Oliveira
7;Turismo VIP;1;Curitiba;Rua Principal, 613;+55 96 95210-5353;turismovip@agencia.com;40.501.311/0001-41;Carlos Silva
8;Sonho Real;1;Curitiba;Rua Principal, 178;+55 10 93922-1779;sonhoreal@agencia.com;46.416.348/0001-36;José Santos
9;Conexão Turística;1;Curitiba;Rua Principal, 690;+55 15 93724-4202;conexaoturistica@agencia.com;79.834.750/0001-69;Fernanda Souza
10;Tour Mundo;1;São Paulo;Rua Principal, 703;+55 43 93669-7551;tourmundo@agencia.com;93.929.150/0001-76;Maria Oliveira
11;Explora Mais;1;Rio de Janeiro;Rua Principal, 950;+55 46 90918-2297;exploramais@agencia.com;77.871.541/0001-90;Rafael Almeida
12;Viagem Incrível;1;Porto Alegre;Rua Principal, 508;+55 98 94316-4775;viagemincrivel@agencia.com;11.316.470/0001-23;Carlos Silva
13;Descubra Tours;1;Porto Alegre;Rua Principal, 745;+55 73 99885-9186;descobratours@agencia.com;98.590.532/0001-17;Fernanda Souza
14;Viva Turismo;1;Rio de Janeiro;Rua Principal, 894;+55 86 92915-7144;vivaturismo@agencia.com;67.615.713/0001-53;Rafael Almeida
15;Horizontes;1;São Paulo;Rua Principal, 938;+55 72 98237-8271;horizontes@agencia.com;70.208.686/0001-44;Maria Oliveira
16;Caminho Certo;1;Brasília;Rua Principal, 905;+55 25 92901-3044;caminhocerto@agencia.com;50.854.248/0001-17;Carlos Silva
