PaísID;Nome do País;Região;Moeda;Código ISO do País;População Estimada;PIB (US$ Milhões)
1;Brasil;América do Sul;Real;BR;203083797;2174000
2;Argentina;América do Sul;Peso Argentino;AR;45773884;641000
3;Chile;América do Sul;Peso Chileno;CL;19629590;335000
4;Colômbia;América do Sul;Peso Colombiano;CO;50882891;363000
5;Peru;América do Sul;Sol;PE;34352719;268000
6;Uruguai;América do Sul;Peso Uruguaio;UY;3423108;78000
7;Paraguai;América do Sul;Guarani;PY;6861524;89000
8;Bolívia;América do Sul;Boliviano;BO;12388571;84000
9;Equador;América do Sul;Dólar Americano;EC;18190484;193000
10;Venezuela;América do Sul;Bolivar;VE;28838499;382000
11;Estados Unidos;América do Norte;Dólar Americano;US;339987103;27361000
12;Canadá;América do Norte;Dólar Canadense;CA;38929902;2140000
13;México;América do Norte;Peso Mexicano;MX;134127189;1789000
14;Alemanha;Europa;Euro;DE;83783942;4456000
15;França;Europa;Euro;FR;65273511;3031000
16;Reino Unido;Europa;Libra Esterlina;GB;69505718;3340000
17;Itália;Europa;Euro;IT;59641488;2255000
18;Espanha;Europa;Euro;ES;46335000;1581000
19;Rússia;Europa/Ásia;Rublo;RU;146140931;2021000
20;Japão;Ásia;Iene;JP;124127899;5085000
21;China;Ásia;Yuan;CN;1426391281;14263900
22;Índia;Ásia;Rupia Indiana;IN;1429921746;28751000
23;Austrália;Oceania;Dólar Australiano;AU;25687041;13927000
24;Nova Zelândia;Oceania;Dólar Neozelandês;NZ;5084300;2119000
25;África do Sul;África;Rand;ZA;59308690;3514000
26;Egito;África;Libra Egípcia;EG;102334404;3631000
27;Nigéria;África;Naira;NG;206139589;4481000
28;Arábia Saudita;Ásia;Rial Saudita;SA;34813867;7001000
29;Emirados Árabes Unidos;Ásia;Dirham;AE;9890400;4211000
30;Israel;Ásia;Novo Shekel;IL;9216900;3876000
31;Coreia do Sul;Ásia;Won Sul-Coreano;KR;51269185;16424000
32;Singapura;Ásia;Dólar de Singapura;SG;5850342;3791000
33;Tailândia;Ásia;Baht;TH;69799978;5443000
34;Vietnã;Ásia;Dong;VN;97338579;2712000
35;Filipinas;Ásia;Peso Filipino;PH;109581085;3674000
36;Paquistão;Ásia;Rupia Paquistanesa;PK;220892331;2782000
37;Bangladesh;Ásia;Taka;BD;164689383;3242000
38;Indonésia;Ásia;Rupia Indonésia;ID;273523621;11192000
39;Malásia;Ásia;Ringgit;MY;32365998;3363000
40;Turquia;Ásia/Europa;Lira Turca;TR;84339067;7614000
41;Irã;Ásia;Rial Iraniano;IR;83992949;1917000
42;Grécia;Europa;Euro;GR;10423054;1894000
43;Portugal;Europa;Euro;PT;10196709;2379000
44;Suíça;Europa;Franco Suíço;CH;8654622;7091000
45;Áustria;Europa;Euro;AT;8917205;4614000
46;Suécia;Europa;Coroa Sueca;SE;10099265;5291000
47;Noruega;Europa;Coroa Norueguesa;NO;5421242;4033000
48;Finlândia;Europa;Euro;FI;5540720;2696000
49;Dinamarca;Europa;Coroa Dinamarquesa;DK;5818553;3646000
50;Irlanda;Europa;Euro;IE;4937786;4767000
51;Polônia;Europa;Zloty;PL;38386000;5942000
52;República Tcheca;Europa;Coroa Tcheca;CZ;10708981;2511000
53;Hungria;Europa;Forint;HU;9660351;1566000
54;Romênia;Europa;Leu;RO;19237691;2498000
55;Bulgária;Europa;Lev;BG;6948445;691000
56;Ucrânia;Europa;Hryvnia;UA;43733759;1555000
57;Croácia;Europa;Kuna;HR;4105267;632000
58;Sérvia;Europa;Dinar Sérvio;RS;8737371;522000
59;Eslováquia;Europa;Euro;SK;5456362;1121000
60;Eslovênia;Europa;Euro;SI;2078654;567000
61;Estônia;Europa;Euro;EE;1326535;337000
62;Letônia;Europa;Euro;LV;1886198;346000
63;Lituânia;Europa;Euro;LT;2722289;549000
64;Islândia;Europa;Coroa Islandesa;IS;343599;242000
65;Luxemburgo;Europa;Euro;LU;634814;711000
66;Malta;Europa;Euro;MT;514564;146000
67;Chipre;Europa;Euro;CY;1207359;249000
68;Bélgica;Europa;Euro;BE;11589623;5296000
69;Países Baixos;Europa;Euro;NL;17134872;9125000
70;Israel;Ásia;Novo Shekel;IL;9216900;3876000
71;Jordânia;Ásia;Dinar Jordaniano;JO;10203134;437000
